ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D000072471,D000077525,4,4
D000072471,D000077526,3,3
D000072471,D000077546,3,3
D000072471,D000077550,3,3
D000072471,D000077562,8,8
D000072471,D000077583,4,4
D000072471,D000077590,3,3
D000072471,D000077595,4,4
D000072471,D000077602,3,3
D000072471,D000077606,4,4
D000072471,D000077682,3,3
D000072471,D000077716,3,3
D000072471,D000077722,4,4
D000072471,D000077723,4,4
D000072471,D000077725,6,7
D000072471,D000077726,4,4
D000072471,D000077727,4,4
D000072471,D000077728,6,6
D000072471,D000077731,5,5
D000072471,D000077734,5,5
D000072471,D000077735,3,5
D000072471,D000077764,4,4
D000072471,D000077767,3,3
D000072471,D000077784,3,3
D000072471,D000077863,3,4
D000072471,D000077866,5,5
D000072471,D000077868,3,3
D000072471,D000077924,3,3
D000072471,D000078142,5,5
D000072471,D000078183,4,5
D000072471,D000078223,3,5
D000072471,D000078262,3,3
D000072471,D000078306,4,4
D000072471,D000078330,4,4
D000072471,D000078785,3,3
D000072471,D000080242,6,6
D000072471,D000080890,3,3
D000072471,D000089983,3,3
D000072471,D000105,7,7
D000072471,D000165,4,4
D000072471,D000166,2,2
D000072471,D000167,4,4
D000072471,D000175,4,4
D000072471,D000198,2,2
D000072471,D000212,6,6
D000072471,D000214,6,6
D000072471,D000225,3,3
D000072471,D000227,4,4
D000072471,D000241,4,4
D000072471,D000242,5,5
D000072471,D000244,5,5
D000072471,D000245,7,7
D000072471,D000246,7,7
D000072471,D000247,6,6
D000072471,D000249,5,5
D000072471,D000250,6,6
D000072471,D000255,5,5
D000072471,D000266,6,6
D000072471,D000323,3,3
D000072471,D000348,3,3
D000072471,D000404,5,6
D000072471,D000423,3,3
D000072471,D000443,5,5
D000072471,D000493,3,3
D000072471,D000525,4,4
D000072471,D000560,4,4
D000072471,D000561,5,5
D000072471,D000585,4,4
D000072471,D000609,3,3
D000072471,D000628,6,6
D000072471,D000630,4,4
D000072471,D000634,3,3
D000072471,D000638,3,3
D000072471,D000655,4,4
D000072471,D000657,4,4
D000072471,D000658,6,6
D000072471,D000667,5,5
D000072471,D000677,4,4
D000072471,D000872,5,5
D000072471,D000876,2,5
D000072471,D001058,3,5
D000072471,D001060,2,4
D000072471,D001084,5,5
D000072471,D001279,4,4
D000072471,D001375,6,6
D000072471,D001379,4,4
D000072471,D001390,6,6
D000072471,D001398,4,4
D000072471,D001399,3,3
D000072471,D001429,4,4
D000072471,D001539,3,3
D000072471,D001542,3,3
D000072471,D001552,2,2
D000072471,D001553,3,3
D000072471,D001562,2,2
D000072471,D001569,3,3
D000072471,D001570,4,4
D000072471,D001571,5,5
D000072471,D001572,2,2
D000072471,D001575,3,3
D000072471,D001578,2,2
D000072471,D001581,2,2
D000072471,D001582,2,2
D000072471,D001583,2,2
D000072471,D001584,2,2
D000072471,D001591,3,3
D000072471,D001599,3,5
D000072471,D001600,2,4
D000072471,D001640,4,4
D000072471,D001654,3,3
D000072471,D001663,4,4
D000072471,D001664,5,5
D000072471,D001708,4,4
D000072471,D001728,5,5
D000072471,D001960,5,5
D000072471,D001971,3,3
D000072471,D002027,5,5
D000072471,D002047,3,3
D000072471,D002077,3,3
D000072471,D002110,5,5
D000072471,D002159,3,3
D000072471,D002193,3,3
D000072471,D002215,3,3
D000072471,D002218,3,3
D000072471,D002220,3,3
D000072471,D002227,2,3
D000072471,D002228,5,5
D000072471,D002243,2,5
D000072471,D002323,6,6
D000072471,D002354,4,4
D000072471,D002392,4,5
D000072471,D002433,5,5
D000072471,D002434,5,5
D000072471,D002435,4,4
D000072471,D002436,6,6
D000072471,D002437,4,4
D000072471,D002438,5,5
D000072471,D002439,5,5
D000072471,D002440,5,5
D000072471,D002441,4,4
D000072471,D002442,5,5
D000072471,D002443,6,6
D000072471,D002444,4,4
D000072471,D002486,4,4
D000072471,D002505,4,4
D000072471,D002506,4,4
D000072471,D002507,5,5
D000072471,D002509,4,4
D000072471,D002511,3,3
D000072471,D002512,5,5
D000072471,D002513,4,4
D000072471,D002514,5,5
D000072471,D002515,5,5
D000072471,D002595,2,2
D000072471,D002599,6,6
D000072471,D002707,4,4
D000072471,D002714,3,3
D000072471,D002734,3,3
D000072471,D002735,4,4
D000072471,D002738,4,4
D000072471,D002739,5,5
D000072471,D002740,3,3
D000072471,D002746,3,3
D000072471,D002749,4,4
D000072471,D002750,6,6
D000072471,D002752,4,4
D000072471,D002753,3,3
D000072471,D002839,3,3
D000072471,D002866,4,4
D000072471,D002867,3,3
D000072471,D002920,3,3
D000072471,D002937,2,2
D000072471,D002939,5,5
D000072471,D002953,3,3
D000072471,D002955,7,7
D000072471,D002969,3,3
D000072471,D002991,3,3
D000072471,D002997,3,3
D000072471,D002998,5,5
D000072471,D003006,4,4
D000072471,D003009,4,4
D000072471,D003023,5,5
D000072471,D003024,3,3
D000072471,D003038,5,5
D000072471,D003061,4,4
D000072471,D003065,5,5
D000072471,D003305,5,5
D000072471,D003306,4,4
D000072471,D003372,5,5
D000072471,D003374,3,3
D000072471,D003375,4,6
D000072471,D003493,4,4
D000072471,D003518,3,3
D000072471,D003571,4,4
D000072471,D003572,3,3
D000072471,D003583,4,4
D000072471,D003609,2,2
D000072471,D003647,3,3
D000072471,D003667,4,4
D000072471,D003708,6,6
D000072471,D003838,5,5
D000072471,D003839,5,5
D000072471,D003848,5,5
D000072471,D003849,5,5
D000072471,D003868,4,4
D000072471,D003891,3,3
D000072471,D003905,4,4
D000072471,D003915,3,3
D000072471,D003917,3,3
D000072471,D003932,4,4
D000072471,D003975,5,5
D000072471,D003981,3,3
D000072471,D003984,2,2
D000072471,D003987,2,2
D000072471,D003988,2,2
D000072471,D003989,2,2
D000072471,D003990,2,2
D000072471,D003992,3,3
D000072471,D003994,6,6
D000072471,D003995,6,6
D000072471,D004009,6,6
D000072471,D004079,2,2
D000072471,D004087,3,3
D000072471,D004088,3,3
D000072471,D004090,4,4
D000072471,D004091,4,4
D000072471,D004102,4,4
D000072471,D004103,5,5
D000072471,D004110,3,3
D000072471,D004111,6,6
D000072471,D004130,4,4
D000072471,D004145,6,6
D000072471,D004174,3,3
D000072471,D004205,4,4
D000072471,D004225,3,3
D000072471,D004294,3,3
D000072471,D004308,3,3
D000072471,D004316,3,3
D000072471,D004329,3,3
D000072471,D004400,6,6
D000072471,D004448,3,3
D000072471,D004610,3,3
D000072471,D004611,3,6
D000072471,D004640,3,3
D000072471,D004726,3,3
D000072471,D004801,4,4
D000072471,D004873,2,2
D000072471,D004874,3,3
D000072471,D004877,4,4
D000072471,D004878,3,3
D000072471,D004879,2,2
D000072471,D004923,4,4
D000072471,D004929,4,4
D000072471,D004949,4,4
D000072471,D004975,4,4
D000072471,D004985,6,6
D000072471,D004996,3,3
D000072471,D005015,3,3
D000072471,D005016,3,3
D000072471,D005017,5,5
D000072471,D005036,4,4
D000072471,D005044,4,4
D000072471,D005048,3,3
D000072471,D005182,4,5
D000072471,D005273,3,3
D000072471,D005363,3,5
D000072471,D005415,2,3
D000072471,D005419,4,4
D000072471,D005422,6,6
D000072471,D005436,6,6
D000072471,D005442,5,5
D000072471,D005445,5,5
D000072471,D005450,3,3
D000072471,D005452,3,3
D000072471,D005475,4,4
D000072471,D005476,3,3
D000072471,D005479,5,5
D000072471,D005486,4,5
D000072471,D005492,4,4
D000072471,D005575,6,6
D000072471,D005702,3,3
D000072471,D005861,3,3
D000072471,D005912,3,3
D000072471,D006118,3,3
D000072471,D006147,5,5
D000072471,D006150,4,4
D000072471,D006151,4,4
D000072471,D006152,5,5
D000072471,D006153,5,5
D000072471,D006154,7,7
D000072471,D006155,7,7
D000072471,D006156,6,6
D000072471,D006157,5,5
D000072471,D006158,5,5
D000072471,D006159,5,5
D000072471,D006160,5,5
D000072471,D006165,6,6
D000072471,D006246,3,6
D000072471,D006247,3,6
D000072471,D006248,2,3
D000072471,D006415,4,4
D000072471,D006416,3,3
D000072471,D006418,5,5
D000072471,D006427,6,6
D000072471,D006569,6,6
D000072471,D006574,1,1
D000072471,D006575,1,1
