ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
VA000,HS050,2,2
VA000,HS051,3,3
VA000,HS052,3,3
VA000,HS100,2,2
VA000,HS200,2,2
VA000,HS300,2,2
VA000,HS400,2,2
VA000,HS500,2,2
VA000,HS501,3,3
VA000,HS502,3,3
VA000,HS503,3,3
VA000,HS509,3,3
VA000,HS600,2,2
VA000,HS700,2,2
VA000,HS701,3,3
VA000,HS702,3,3
VA000,HS800,2,2
VA000,HS850,2,2
VA000,HS851,3,3
VA000,HS852,3,3
VA000,HS875,2,2
VA000,HS900,2,2
VA000,IM000,1,1
VA000,IM100,2,2
VA000,IM105,2,2
VA000,IM109,2,2
VA000,IM300,2,2
VA000,IM400,2,2
VA000,IM500,2,2
VA000,IM600,2,2
VA000,IM700,2,2
VA000,IM900,2,2
VA000,IN000,1,1
VA000,IN001,2,2
VA000,IN002,2,2
VA000,IN003,2,2
VA000,IN004,2,2
VA000,IN005,2,2
VA000,IN100,2,2
VA000,IN110,2,2
VA000,IN120,2,2
VA000,IN130,2,2
VA000,IN140,2,2
VA000,IN150,2,2
VA000,IN160,2,2
VA000,IN170,2,2
VA000,IN180,2,2
VA000,IN200,2,2
VA000,IN210,2,2
VA000,IN220,2,2
VA000,IN230,2,2
VA000,IN240,2,2
