ancestor_concept_code,descendant_concept_code,level_of_separation
VA000,IN250,2
IN000,IN250,1
IN250,IN250,0
VA000,IN260,2
IN000,IN260,1
IN260,IN260,0
VA000,IN270,2
IN000,IN270,1
IN270,IN270,0
VA000,IN280,2
IN000,IN280,1
IN280,IN280,0
VA000,IN300,2
IN000,IN300,1
IN300,IN300,0
VA000,IN350,2
IN000,IN350,1
IN350,IN350,0
VA000,IN400,2
IN000,IN400,1
IN400,IN400,0
VA000,IN410,2
IN000,IN410,1
IN410,IN410,0
VA000,IN420,2
IN000,IN420,1
IN420,IN420,0
VA000,IN430,2
IN000,IN430,1
IN430,IN430,0
VA000,IN500,2
IN000,IN500,1
IN500,IN500,0
VA000,IN505,2
IN000,IN505,1
IN505,IN505,0
VA000,IN510,2
IN000,IN510,1
IN510,IN510,0
VA000,IN515,2
IN000,IN515,1
IN515,IN515,0
VA000,IN520,2
IN000,IN520,1
IN520,IN520,0
VA000,IN530,2
IN000,IN530,1
IN530,IN530,0
VA000,IN540,2
IN000,IN540,1
IN540,IN540,0
VA000,IN550,2
IN000,IN550,1
IN550,IN550,0
VA000,IN560,2
IN000,IN560,1
IN560,IN560,0
VA000,IN570,2
IN000,IN570,1
IN570,IN570,0
VA000,IN580,2
IN000,IN580,1
IN580,IN580,0
VA000,IN585,2
IN000,IN585,1
IN585,IN585,0
VA000,IN590,2
IN000,IN590,1
IN590,IN590,0
VA000,IN595,2
IN000,IN595,1
IN595,IN595,0
VA000,IN600,2
IN000,IN600,1
IN600,IN600,0
VA000,IN610,2
IN000,IN610,1
IN610,IN610,0
VA000,IN620,2
IN000,IN620,1
IN620,IN620,0
VA000,IN630,2
IN000,IN630,1
IN630,IN630,0
VA000,IN640,2
IN000,IN640,1
IN640,IN640,0
VA000,IN650,2
IN000,IN650,1
IN650,IN650,0
VA000,IN660,2
IN000,IN660,1
IN660,IN660,0
VA000,IN665,2
IN000,IN665,1
IN665,IN665,0
VA000,IN670,2
IN000,IN670,1
IN670,IN670,0
VA000,IN675,2
IN000,IN675,1
IN675,IN675,0
VA000,IN700,2
IN000,IN700,1
IN700,IN700,0
VA000,IN710,2
IN000,IN710,1
IN710,IN710,0
VA000,IN720,2
IN000,IN720,1
IN720,IN720,0
VA000,IN800,2
IN000,IN800,1
IN800,IN800,0
VA000,IN810,2
IN000,IN810,1
IN810,IN810,0
VA000,IN820,2
IN000,IN820,1
IN820,IN820,0
VA000,IN830,2
IN000,IN830,1
IN830,IN830,0
VA000,IN840,2
IN000,IN840,1
IN840,IN840,0
VA000,IN850,2
IN000,IN850,1
IN850,IN850,0
VA000,IN860,2
IN000,IN860,1
IN860,IN860,0
VA000,IN870,2
IN000,IN870,1
IN870,IN870,0
VA000,IN880,2
IN000,IN880,1
IN880,IN880,0
VA000,IN900,2
IN000,IN900,1
IN900,IN900,0
VA000,IN910,2
IN000,IN910,1
IN910,IN910,0
VA000,IN920,2
IN000,IN920,1
IN920,IN920,0
VA000,IN930,2
IN000,IN930,1
IN930,IN930,0
VA000,IN940,2
IN000,IN940,1
IN940,IN940,0
VA000,IN950,2
IN000,IN950,1
IN950,IN950,0
VA000,IN960,2
IN000,IN960,1
IN960,IN960,0
VA000,IN970,2
IN000,IN970,1
IN970,IN970,0
VA000,IN980,2
IN000,IN980,1
IN980,IN980,0
VA000,IN999,2
IN000,IN999,1
IN999,IN999,0
VA000,IP000,1
VA000,IP100,2
IP000,IP000,0
IP000,IP100,1
IP100,IP100,0
VA000,IP900,2
IP000,IP900,1
IP900,IP900,0
VA000,IR000,1
VA000,IR100,2
IR000,IR000,0
IR000,IR100,1
IR100,IR100,0
VA000,IR200,2
IR000,IR200,1
IR200,IR200,0
VA000,IR300,2
IR000,IR300,1
IR300,IR300,0
VA000,IR900,2
IR000,IR900,1
IR900,IR900,0
VA000,MS000,1
VA000,MS100,2
VA000,MS101,3
MS000,MS000,0
MS000,MS100,1
MS000,MS101,2
MS100,MS100,0
MS100,MS101,1
MS101,MS101,0
VA000,MS102,3
MS000,MS102,2
MS100,MS102,1
MS102,MS102,0
VA000,MS130,3
MS000,MS130,2
MS100,MS130,1
MS130,MS130,0
VA000,MS140,3
MS000,MS140,2
MS100,MS140,1
MS140,MS140,0
VA000,MS150,3
MS000,MS150,2
MS100,MS150,1
MS150,MS150,0
VA000,MS160,3
MS000,MS160,2
MS100,MS160,1
MS160,MS160,0
VA000,MS190,3
MS000,MS190,2
MS100,MS190,1
MS190,MS190,0
VA000,MS200,2
MS000,MS200,1
MS200,MS200,0
VA000,MS205,2
MS000,MS205,1
MS205,MS205,0
VA000,MS300,2
MS000,MS300,1
MS300,MS300,0
VA000,MS400,2
MS000,MS400,1
MS400,MS400,0
VA000,MS900,2
MS000,MS900,1
MS900,MS900,0
VA000,NT000,1
VA000,NT100,2
NT000,NT000,0
NT000,NT100,1
NT100,NT100,0
VA000,NT200,2
NT000,NT200,1
NT200,NT200,0
VA000,NT300,2
NT000,NT300,1
NT300,NT300,0
VA000,NT400,2
NT000,NT400,1
NT400,NT400,0
VA000,NT900,2
NT000,NT900,1
NT900,NT900,0
VA000,OP000,1
VA000,OP100,2
VA000,OP101,3
OP000,OP000,0
OP000,OP100,1
OP000,OP101,2
OP100,OP100,0
OP100,OP101,1
OP101,OP101,0
VA000,OP102,3
OP000,OP102,2
OP100,OP102,1
OP102,OP102,0
VA000,OP103,3
OP000,OP103,2
OP100,OP103,1
OP103,OP103,0
VA000,OP105,3
OP000,OP105,2
OP100,OP105,1
OP105,OP105,0
VA000,OP107,3
OP000,OP107,2
OP100,OP107,1
OP107,OP107,0
VA000,OP109,3
OP000,OP109,2
OP100,OP109,1
OP109,OP109,0
VA000,OP140,3
OP000,OP140,2
OP100,OP140,1
OP140,OP140,0
VA000,OP160,3
OP000,OP160,2
OP100,OP160,1
OP160,OP160,0
VA000,OP200,2
VA000,OP210,3
OP000,OP200,1
OP000,OP210,2
OP200,OP200,0
OP200,OP210,1
OP210,OP210,0
VA000,OP219,3
OP000,OP219,2
OP200,OP219,1
OP219,OP219,0
VA000,OP220,3
OP000,OP220,2
OP200,OP220,1
OP220,OP220,0
VA000,OP230,3
OP000,OP230,2
OP200,OP230,1
OP230,OP230,0
VA000,OP300,2
OP000,OP300,1
OP300,OP300,0
VA000,OP350,2
OP000,OP350,1
