ancestor_concept_code,descendant_concept_code,level_of_separation
D000078604,D000078604,0
D020228,D007155,2
D020228,D007166,3
D020228,D000081243,4
D045505,D007155,1
D045505,D007166,2
D045505,D000081243,3
D007155,D007155,0
D007155,D007166,1
D007155,D000081243,2
D007166,D007166,0
D007166,D000081243,1
D000081243,D000081243,0
D020228,D000088902,4
D045505,D000088902,3
D007155,D000088902,2
D007166,D000088902,1
D000088902,D000088902,0
D020228,D000091203,4
D045505,D000091203,3
D007155,D000091203,2
D007166,D000091203,1
D000091203,D000091203,0
D020228,D019653,4
D045505,D019653,3
D007155,D019653,2
D007166,D019653,1
D019653,D019653,0
D020228,D051056,4
D020228,D065094,5
D045505,D051056,3
D045505,D065094,4
D007155,D051056,2
D007155,D065094,3
D007166,D051056,1
D007166,D065094,2
D051056,D051056,0
D051056,D065094,1
D065094,D065094,0
D020228,D000082142,3
D045505,D000082142,2
D007155,D000082142,1
D000082142,D000082142,0
D020228,D000091369,3
D045505,D000091369,2
D007155,D000091369,1
D000091369,D000091369,0
D020228,D000276,3
D045505,D000276,2
D007155,D000276,1
D000276,D000276,0
D020228,D000373,3
D020228,D006388,4
D045505,D000373,2
D045505,D006388,3
D007155,D000373,1
D007155,D006388,2
D000373,D000373,0
D000373,D006388,1
D006388,D006388,0
D020228,D007369,3
D045505,D007369,2
D007155,D007369,1
D007369,D007369,0
D020228,D000697,2
D020228,D001046,3
D045505,D000697,1
D045505,D001046,2
D000697,D000697,0
D000697,D001046,1
D001046,D001046,0
D020228,D003292,3
D045505,D003292,2
D000697,D003292,1
D003292,D003292,0
D020228,D019167,3
D045505,D019167,2
D000697,D019167,1
D019167,D019167,0
D020228,D064690,3
D045505,D064690,2
D000697,D064690,1
D064690,D064690,0
D020228,D001252,2
D045505,D001252,1
D001252,D001252,0
D020228,D045283,2
D020228,D004232,3
D020228,D004234,4
D045505,D045283,1
D045505,D004232,2
D045505,D004234,3
D045283,D045283,0
D045283,D004232,1
D045283,D004234,2
D004232,D004232,0
D004232,D004234,1
D004234,D004234,0
D020228,D049993,4
D045505,D049993,3
D045283,D049993,2
D004232,D049993,1
D049993,D049993,0
D020228,D049994,4
D045505,D049994,3
D045283,D049994,2
D004232,D049994,1
D049994,D049994,0
D020228,D062865,4
D020228,D062686,5
D045505,D062865,3
D045505,D062686,4
D045283,D062865,2
D045283,D062686,3
D004232,D062865,1
D004232,D062686,2
D062865,D062865,0
D062865,D062686,1
D062686,D062686,0
D020228,D050034,3
D045505,D050034,2
D045283,D050034,1
D050034,D050034,0
D020228,D065067,3
D045505,D065067,2
D045283,D065067,1
D065067,D065067,0
D020228,D065092,3
D045505,D065092,2
D045283,D065092,1
D065092,D065092,0
D020228,D004639,2
D045505,D004639,1
D020228,D006133,2
D020228,D006131,3
D020228,D020533,4
D045505,D006133,1
D045505,D006131,2
D045505,D020533,3
D006133,D006133,0
D006133,D006131,1
D006133,D020533,2
D006131,D006131,0
D006131,D020533,1
D020533,D020533,0
D020228,D010937,3
D045505,D010937,2
D006133,D010937,1
D010937,D010937,0
D020228,D043924,3
D045505,D043924,2
D006133,D043924,1
D043924,D043924,0
D043924,D020533,1
D020228,D043925,4
D045505,D043925,3
D006133,D043925,2
D043924,D043925,1
D043925,D043925,0
D020228,D006213,2
D045505,D006213,1
D006213,D006213,0
D020228,D009125,2
D045505,D009125,1
D020228,D009292,2
D045505,D009292,1
D020228,D020011,2
D020228,D000931,3
D045505,D020011,1
D045505,D000931,2
D020011,D020011,0
D020011,D000931,1
D000931,D000931,0
D020228,D000975,3
D020228,D016166,4
D045505,D000975,2
D045505,D016166,3
D020011,D000975,1
D020011,D016166,2
D000975,D000975,0
D000975,D016166,1
D016166,D016166,0
D020228,D002316,3
D045505,D002316,2
D020011,D002316,1
D002316,D002316,0
D020228,D002327,3
D045505,D002327,2
D020011,D002327,1
D002327,D002327,0
D020228,D003451,3
D045505,D003451,2
D020011,D003451,1
D003451,D003451,0
D020228,D011837,3
D020228,D013473,4
D045505,D011837,2
D045505,D013473,3
D020011,D011837,1
D020011,D013473,2
D011837,D011837,0
D011837,D013473,1
D013473,D013473,0
D020228,D016587,3
D045505,D016587,2
D020011,D016587,1
D016587,D016587,0
D020228,D016588,3
D045505,D016588,2
D020011,D016588,1
D016588,D016588,0
D020228,D018696,3
D045505,D018696,2
D020011,D018696,1
D018696,D018696,0
D020228,D050071,2
D045505,D050071,1
D050071,D050071,0
D020228,D056669,2
D045505,D056669,1
D056669,D056669,0
D020228,D058573,2
D045505,D058573,1
D058573,D058573,0
D020228,D058633,2
D045505,D058633,1
D058633,D058633,0
D020228,D045506,1
D045506,D045506,0
D045506,D012102,1
D045506,D000019,2
D045506,D000020,3
D045506,D000021,3
D045506,D003270,2
D045506,D000080066,3
D045506,D003278,4
D045506,D003282,4
D045506,D008186,4
D045506,D008600,4
D045506,D003271,3
D045506,D003276,4
D045506,D003278,5
D045506,D003279,5
D045506,D003280,5
D045506,D003281,4
D045506,D003282,5
D045506,D003283,5
D045506,D003272,3
D045506,D005299,2
D045506,D005300,3
D045506,D005303,3
D045506,D008186,2
D045506,D008600,2
D045506,D010120,2
D045506,D015149,2
D020228,D000970,2
D020228,D000067856,3
D045506,D000970,1
D045506,D000067856,2
D000970,D000970,0
D000970,D000067856,1
D000067856,D000067856,0
D020228,D000074322,3
D020228,D000082082,4
D045506,D000074322,2
D045506,D000082082,3
D000970,D000074322,1
D000970,D000082082,2
D000074322,D000074322,0
D000074322,D000082082,1
D000082082,D000082082,0
D020228,D000091203,3
D045506,D000091203,2
D000970,D000091203,1
D020228,D000903,3
D045506,D000903,2
D000970,D000903,1
D000903,D000903,0
D020228,D000972,3
D045506,D000972,2
D000970,D000972,1
D000972,D000972,0
D020228,D018931,3
D045506,D018931,2
D000970,D018931,1
D018931,D018931,0
D020228,D019653,3
D045506,D019653,2
D000970,D019653,1
D020228,D020533,3
D045506,D020533,2
D000970,D020533,1
D020228,D050256,3
D020228,D050257,4
D045506,D050256,2
D045506,D050257,3
D000970,D050256,1
D000970,D050257,2
D050256,D050256,0
D050256,D050257,1
D050257,D050257,0
D020228,D059003,3
D020228,D059004,4
D045506,D059003,2
D045506,D059004,3
D000970,D059003,1
D000970,D059004,2
D059003,D059003,0
D059003,D059004,1
D059004,D059004,0
D020228,D059005,4
D045506,D059005,3
D000970,D059005,2
D059003,D059005,1
D059005,D059005,0
D020228,D002491,2
D020228,D002492,3
D020228,D006993,4
D020228,D000068776,5
D020228,D000068796,6
D045506,D002491,1
D045506,D002492,2
D045506,D006993,3
D045506,D000068776,4
D045506,D000068796,5
D002491,D002491,0
D002491,D002492,1
D002491,D006993,2
D002491,D000068776,3
D002491,D000068796,4
D020228,D009294,4
D020228,D000701,5
D045506,D009294,3
D045506,D000701,4
D002491,D009294,2
D002491,D000701,3
D020228,D000777,4
D020228,D018681,5
D020228,D018686,6
D020228,D000778,7
D045506,D000777,3
D045506,D018681,4
D045506,D018686,5
D045506,D000778,6
D002491,D000777,2
D002491,D018681,3
D002491,D018686,4
D002491,D000778,5
D020228,D018685,6
D045506,D018685,5
D002491,D018685,4
D020228,D000779,5
D045506,D000779,4
D002491,D000779,3
D020228,D019162,5
D045506,D019162,4
D002491,D019162,3
D020228,D014149,4
D020228,D014150,5
D045506,D014149,3
D045506,D014150,4
D002491,D014149,2
D002491,D014150,3
D020228,D014151,5
D045506,D014151,4
D002491,D014151,3
D020228,D018692,5
D045506,D018692,4
D002491,D018692,3
D020228,D000700,3
D020228,D000077221,4
D045506,D000700,2
D045506,D000077221,3
D002491,D000700,1
D002491,D000077221,2
D020228,D018712,4
D020228,D000894,5
D020228,D016861,6
D020228,D052246,7
D045506,D018712,3
D045506,D000894,4
D045506,D016861,5
D045506,D052246,6
D002491,D018712,2
D002491,D000894,3
D002491,D016861,4
D002491,D052246,5
D020228,D057133,4
D045506,D057133,3
D002491,D057133,2
D020228,D059846,4
D045506,D059846,3
D002491,D059846,2
D020228,D000427,3
D045506,D000427,2
D002491,D000427,1
D000427,D000427,0
D020228,D000697,3
D020228,D001046,4
D045506,D000697,2
D045506,D001046,3
D002491,D000697,1
D002491,D001046,2
D020228,D003292,4
D045506,D003292,3
D002491,D003292,2
D020228,D019167,4
D045506,D019167,3
D002491,D019167,2
D020228,D064690,4
D045506,D064690,3
D002491,D064690,2
D020228,D000759,3
D045506,D000759,2
D002491,D000759,1
D000759,D000759,0
D020228,D000927,3
D045506,D000927,2
D002491,D000927,1
D000927,D000927,0
D020228,D011619,3
D020228,D000928,4
D020228,D000929,5
D045506,D011619,2
D045506,D000928,3
D045506,D000929,4
D002491,D011619,1
D002491,D000928,2
D002491,D000929,3
D011619,D011619,0
D011619,D000928,1
D011619,D000929,2
D000928,D000928,0
D000928,D000929,1
D000929,D000929,0
D020228,D018687,5
D045506,D018687,4
D002491,D018687,3
