ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000008340,N0000009176,1,1
N0000008341,N0000008341,0,0
N0000008341,N0000008700,2,2
N0000008341,N0000008839,2,2
N0000008341,N0000009392,2,2
N0000008341,N0000009531,2,2
N0000008341,N0000009741,1,1
N0000008341,N0000009814,1,1
N0000008342,N0000008342,0,0
N0000008342,N0000008704,2,2
N0000008342,N0000008732,2,2
N0000008342,N0000009396,2,2
N0000008342,N0000009424,2,2
N0000008342,N0000009744,1,1
N0000008342,N0000009750,1,1
N0000008343,N0000008343,0,0
N0000008343,N0000008344,2,2
N0000008343,N0000020013,1,1
N0000008344,N0000008344,0,0
N0000008345,N0000008345,0,0
N0000008345,N0000008481,1,1
N0000008345,N0000009177,1,1
N0000008345,N0000009928,1,1
N0000008345,N0000009929,1,1
N0000008345,N0000010246,2,2
N0000008345,N0000010247,2,2
N0000008345,N0000010248,2,2
N0000008345,N0000010249,2,2
N0000008346,N0000008334,1,1
N0000008346,N0000008335,1,1
N0000008346,N0000008336,1,1
N0000008346,N0000008346,0,0
N0000008346,N0000008378,1,1
N0000008346,N0000008476,2,2
N0000008346,N0000008477,2,2
N0000008346,N0000008478,2,2
N0000008346,N0000008479,2,2
N0000008346,N0000008574,2,2
N0000008346,N0000008575,2,2
N0000008346,N0000009172,2,2
N0000008346,N0000009173,2,2
N0000008346,N0000009174,2,2
N0000008346,N0000009175,2,2
N0000008346,N0000019996,1,1
N0000008346,N0000019997,2,2
N0000008346,N0000019998,3,3
N0000008346,N0000019999,3,3
N0000008346,N0000175085,1,1
N0000008347,N0000008347,0,0
N0000008347,N0000008379,2,2
N0000008347,N0000008380,2,2
N0000008347,N0000008576,3,3
N0000008347,N0000008577,3,3
N0000008347,N0000008840,2,2
N0000008347,N0000008841,2,2
N0000008347,N0000008852,3,3
N0000008347,N0000008853,3,3
N0000008347,N0000008869,3,3
N0000008347,N0000009011,3,3
N0000008347,N0000009270,3,3
N0000008347,N0000009271,3,3
N0000008347,N0000009532,2,2
N0000008347,N0000009533,2,2
N0000008347,N0000009544,3,3
N0000008347,N0000009545,3,3
N0000008347,N0000009561,3,3
N0000008347,N0000009703,3,3
N0000008347,N0000009766,1,1
N0000008347,N0000009767,1,1
N0000008347,N0000009810,1,1
N0000008347,N0000009821,2,2
N0000008347,N0000009822,2,2
N0000008347,N0000009840,2,2
N0000008347,N0000009893,2,2
N0000008347,N0000009894,1,1
N0000008348,N0000008348,0,0
N0000008348,N0000008349,1,1
N0000008349,N0000008349,0,0
N0000008350,N0000008350,0,0
N0000008350,N0000008596,2,2
N0000008350,N0000008629,2,2
N0000008350,N0000008826,2,2
N0000008350,N0000008827,2,2
N0000008350,N0000009037,1,1
N0000008350,N0000009043,1,1
N0000008350,N0000009290,2,2
N0000008350,N0000009323,2,2
N0000008350,N0000009518,2,2
N0000008350,N0000009519,2,2
N0000008350,N0000009800,1,1
N0000008350,N0000009804,1,1
N0000008351,N0000008351,0,0
N0000008351,N0000175396,1,1
N0000008352,N0000008352,0,0
N0000008352,N0000175380,1,1
N0000008353,N0000008353,0,0
N0000008353,N0000008551,1,1
N0000008353,N0000009247,1,1
N0000008354,N0000008353,1,1
N0000008354,N0000008354,0,0
N0000008354,N0000008355,1,1
N0000008354,N0000008551,2,2
N0000008354,N0000008552,2,2
N0000008354,N0000009247,2,2
N0000008354,N0000009248,2,2
N0000008355,N0000008355,0,0
N0000008355,N0000008552,1,1
N0000008355,N0000009248,1,1
N0000008356,N0000008356,0,0
N0000008357,N0000008357,0,0
N0000008358,N0000008358,0,0
N0000008358,N0000008553,1,1
N0000008358,N0000009249,1,1
N0000008359,N0000008359,0,0
N0000008359,N0000008554,1,1
N0000008359,N0000009250,1,1
N0000008360,N0000008358,1,1
N0000008360,N0000008359,1,1
N0000008360,N0000008360,0,0
N0000008360,N0000008361,1,1
N0000008360,N0000008553,2,2
N0000008360,N0000008554,2,2
N0000008360,N0000008555,2,2
N0000008360,N0000009249,2,2
N0000008360,N0000009250,2,2
N0000008360,N0000009251,2,2
N0000008360,N0000010236,1,1
N0000008360,N0000010237,2,2
N0000008360,N0000010238,2,2
N0000008361,N0000008361,0,0
N0000008361,N0000008555,1,1
N0000008361,N0000009251,1,1
N0000008362,N0000008362,0,0
N0000008362,N0000008556,1,1
N0000008362,N0000009252,1,1
N0000008362,N0000175914,2,2
N0000008362,N0000175965,2,2
N0000008362,N0000184153,2,2
N0000008362,N0000184154,2,2
N0000008362,N0000184155,2,2
N0000008363,N0000008362,1,1
N0000008363,N0000008363,0,0
N0000008363,N0000008364,1,1
N0000008363,N0000008556,2,2
N0000008363,N0000008557,2,2
N0000008363,N0000009252,2,2
N0000008363,N0000009253,2,2
N0000008363,N0000175914,3,3
N0000008363,N0000175915,3,3
N0000008363,N0000175965,3,3
N0000008363,N0000184153,3,3
N0000008363,N0000184154,3,3
N0000008363,N0000184155,3,3
N0000008363,N0000184156,3,3
N0000008363,N0000184157,3,3
N0000008363,N0000184158,3,3
N0000008363,N0000184159,3,3
N0000008363,N0000184160,3,3
N0000008363,N0000184161,3,3
N0000008364,N0000008364,0,0
N0000008364,N0000008557,1,1
N0000008364,N0000009253,1,1
N0000008364,N0000175915,2,2
N0000008364,N0000184156,2,2
N0000008364,N0000184157,2,2
N0000008364,N0000184158,2,2
N0000008364,N0000184159,2,2
N0000008364,N0000184160,2,2
N0000008364,N0000184161,2,2
N0000008365,N0000008365,0,0
N0000008365,N0000008366,1,1
N0000008365,N0000008367,1,1
N0000008366,N0000008366,0,0
N0000008367,N0000008367,0,0
N0000008368,N0000008368,0,0
N0000008368,N0000008567,1,1
N0000008368,N0000009263,1,1
N0000008369,N0000008369,0,0
N0000008369,N0000010283,1,1
N0000008369,N0000010284,1,1
N0000008370,N0000008370,0,0
N0000008370,N0000010285,1,1
N0000008370,N0000010286,1,1
N0000008370,N0000010287,1,1
N0000008371,N0000008371,0,0
N0000008371,N0000175400,1,1
N0000008372,N0000008372,0,0
N0000008372,N0000175384,1,1
N0000008373,N0000008365,1,1
N0000008373,N0000008366,2,2
N0000008373,N0000008367,2,2
N0000008373,N0000008373,0,0
N0000008373,N0000020051,1,1
N0000008373,N0000020052,2,2
N0000008373,N0000020053,2,2
N0000008374,N0000008374,0,0
N0000008374,N0000175397,1,1
N0000008375,N0000008375,0,0
N0000008375,N0000175381,1,1
N0000008376,N0000008376,0,0
N0000008376,N0000175398,1,1
N0000008377,N0000008377,0,0
N0000008377,N0000175382,1,1
N0000008378,N0000008378,0,0
N0000008378,N0000008574,1,1
N0000008378,N0000008575,1,1
N0000008379,N0000008379,0,0
N0000008379,N0000008576,1,1
N0000008379,N0000009270,1,1
N0000008380,N0000008380,0,0
N0000008380,N0000008577,1,1
N0000008380,N0000009271,1,1
N0000008381,N0000008381,0,0
N0000008382,N0000008382,0,0
N0000008383,N0000008383,0,0
N0000008383,N0000008394,2,2
N0000008383,N0000008426,2,2
N0000008383,N0000008453,2,2
N0000008383,N0000008482,1,1
N0000008383,N0000008505,2,2
N0000008383,N0000008528,2,2
N0000008383,N0000008600,2,2
N0000008383,N0000008708,2,2
N0000008383,N0000008735,1,1
N0000008383,N0000008779,3,3
N0000008383,N0000008802,1,1
N0000008383,N0000008870,2,2
N0000008383,N0000008899,2,2
N0000008383,N0000008926,2,2
N0000008383,N0000008949,2,2
N0000008383,N0000008974,3,3
N0000008384,N0000008384,0,0
N0000008385,N0000008385,0,0
N0000008386,N0000008386,0,0
