concept_code,standard_concept,class_type
D005573,C,CHEM
D005575,C,CHEM
D005578,C,CHEM
D005579,C,CHEM
D005601,C,CHEM
D005609,C,CHEM
D005617,C,CHEM
D005630,C,CHEM
D005632,C,CHEM
D005640,C,CHEM
D005641,C,CHEM
D005643,C,CHEM
D005666,C,CHEM
D005672,C,CHEM
D005680,C,CHEM
D005682,C,CHEM
D005685,C,CHEM
D005688,C,CHEM
D005690,C,CHEM
D005696,C,CHEM
D005702,C,CHEM
D005703,C,CHEM
D005707,C,CHEM
D005708,C,CHEM
D005709,C,CHEM
D005710,C,CHEM
D005711,C,CHEM
D005719,C,CHEM
D005740,C,CHEM
D005741,C,CHEM
D005752,C,CHEM
D005755,C,CHEM
D005768,C,CHEM
D005780,C,CHEM
D005839,C,CHEM
D005840,C,CHEM
D005841,C,CHEM
D005857,C,CHEM
D005866,C,CHEM
D005867,C,CHEM
D005907,C,CHEM
D005912,C,CHEM
D005913,C,CHEM
D005916,C,CHEM
D005934,C,CHEM
D005936,C,CHEM
D005937,C,CHEM
D005942,C,CHEM
D005944,C,CHEM
D005947,C,CHEM
D005949,C,CHEM
D005958,C,CHEM
D005959,C,CHEM
D005960,C,CHEM
D005962,C,CHEM
D005965,C,CHEM
D005966,C,CHEM
D005971,C,CHEM
D005973,C,CHEM
D005976,C,CHEM
D005977,C,CHEM
D005978,C,CHEM
D005989,C,CHEM
D005990,C,CHEM
D005994,C,CHEM
D005995,C,CHEM
D005997,C,CHEM
D006000,C,CHEM
D006003,C,CHEM
D006016,C,CHEM
D006017,C,CHEM
D006023,C,CHEM
D006024,C,CHEM
D006026,C,CHEM
D006028,C,CHEM
D006033,C,CHEM
D006034,C,CHEM
D006037,C,CHEM
D006038,C,CHEM
D006051,C,CHEM
D006052,C,CHEM
D006065,C,CHEM
D006096,C,CHEM
D006108,C,CHEM
D006118,C,CHEM
D006138,C,CHEM
D006139,C,CHEM
D006140,C,CHEM
D006143,C,CHEM
D006145,C,CHEM
D006151,C,CHEM
D006195,C,CHEM
D006206,C,CHEM
D006220,C,CHEM
D006248,C,CHEM
D006371,C,CHEM
D006415,C,CHEM
D006418,C,CHEM
D006427,C,CHEM
D006495,C,CHEM
D006496,C,CHEM
D006497,C,CHEM
D006535,C,CHEM
D006536,C,CHEM
D006569,C,CHEM
D006577,C,CHEM
D006582,C,CHEM
D006584,C,CHEM
D006585,C,CHEM
D006586,C,CHEM
D006588,C,CHEM
D006590,C,CHEM
D006591,C,CHEM
D006592,C,CHEM
D006594,C,CHEM
D006595,C,CHEM
D006600,C,CHEM
D006601,C,CHEM
D006603,C,CHEM
