concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
D000844,Subsumes,MEDRT,INDIRECT,2103479
D000844,Subsumes,MEDRT,INDIRECT,2103480
D000844,Subsumes,MEDRT,INDIRECT,214555
D000844,Subsumes,MEDRT,INDIRECT,21655
D000844,Subsumes,MEDRT,INDIRECT,2266523
D000844,Subsumes,MEDRT,INDIRECT,22690
D000844,Subsumes,MEDRT,INDIRECT,22694
D000844,Subsumes,MEDRT,INDIRECT,235486
D000844,Subsumes,MEDRT,INDIRECT,2378841
D000844,Subsumes,MEDRT,INDIRECT,258329
D000844,Subsumes,MEDRT,INDIRECT,268872
D000844,Subsumes,MEDRT,INDIRECT,2878
D000844,Subsumes,MEDRT,INDIRECT,29917
D000844,Subsumes,MEDRT,INDIRECT,3264
D000844,Subsumes,MEDRT,INDIRECT,3265
D000844,Subsumes,MEDRT,INDIRECT,327361
D000844,Subsumes,MEDRT,INDIRECT,3355
D000844,Subsumes,MEDRT,INDIRECT,33787
D000844,Subsumes,MEDRT,INDIRECT,34372
D000844,Subsumes,MEDRT,INDIRECT,34374
D000844,Subsumes,MEDRT,INDIRECT,34376
D000844,Subsumes,MEDRT,INDIRECT,36761
D000844,Subsumes,MEDRT,INDIRECT,38546
D000844,Subsumes,MEDRT,INDIRECT,48933
D000844,Subsumes,MEDRT,INDIRECT,55062
D000844,Subsumes,MEDRT,INDIRECT,55063
D000844,Subsumes,MEDRT,INDIRECT,5640
D000844,Subsumes,MEDRT,INDIRECT,5781
D000844,Subsumes,MEDRT,INDIRECT,62136
D000844,Subsumes,MEDRT,INDIRECT,68115
