ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D011838,D017319,1,1
D011933,D011933,0,0
D011933,D011934,1,1
D011934,D011934,0,0
D012076,D012076,0,0
D012102,D000019,1,1
D012102,D000020,2,2
D012102,D000021,2,2
D012102,D000080066,2,2
D012102,D003270,1,1
D012102,D003271,2,2
D012102,D003272,2,2
D012102,D003276,3,3
D012102,D003278,3,4
D012102,D003279,4,4
D012102,D003280,4,4
D012102,D003281,3,3
D012102,D003282,3,4
D012102,D003283,4,4
D012102,D005299,1,1
D012102,D005300,2,2
D012102,D005303,2,2
D012102,D008186,1,3
D012102,D008600,1,3
D012102,D010120,1,1
D012102,D012102,0,0
D012102,D015149,1,1
D012388,D012388,0,0
D012556,D012556,0,0
D012597,D012597,0,0
D012702,D012702,0,0
D012702,D058829,1,1
D012702,D058830,1,1
D012702,D058831,1,1
D012702,D058832,1,1
D012712,D000906,2,2
D012712,D000922,4,4
D012712,D007136,1,1
D012712,D012712,0,0
D012712,D018796,3,3
D012996,D002314,2,2
D012996,D005217,3,3
D012996,D009883,2,2
D012996,D012597,2,2
D012996,D012996,0,0
D012996,D015312,3,3
D012996,D015314,2,2
D012996,D018639,1,1
D012996,D019999,1,1
D012996,D057947,2,2
D012996,D065346,3,3
D013078,D013078,0,0
D013089,D013089,0,0
D013092,D013092,0,0
D013473,D013473,0,0
D013501,D000934,1,1
D013501,D013501,0,0
D013501,D045703,1,1
D013501,D058113,2,2
D013501,D065106,1,1
D013565,D013565,0,0
D013566,D013566,0,0
D013956,D013956,0,0
D014131,D014131,0,0
D014149,D014149,0,0
D014149,D014150,1,1
D014149,D014151,1,1
D014149,D018692,1,1
D014150,D014150,0,0
D014151,D014151,0,0
D014179,D000068760,1,1
D014179,D014179,0,0
D014179,D017367,1,1
D014179,D018759,1,1
D014179,D018765,1,1
D014179,D058805,1,1
D014344,D014344,0,0
D014361,D014361,0,0
D014475,D014475,0,0
D014528,D014528,0,0
D014662,D002120,1,1
D014662,D014662,0,0
D014662,D014663,1,1
D014663,D014663,0,0
D014665,D014665,0,0
D014665,D045462,1,1
D014803,D014803,0,0
D014815,D000072664,1,1
D014815,D014803,1,1
D014815,D014815,0,0
D015149,D015149,0,0
D015259,D015259,0,0
D015259,D018491,1,1
D015259,D018492,1,1
D015259,D018765,1,1
D015259,D065127,2,2
D015312,D015312,0,0
D015314,D015312,1,1
D015314,D015314,0,0
D015335,D015335,0,0
D015335,D015341,1,1
D015335,D015342,2,2
D015335,D015343,3,3
D015335,D015344,3,3
D015335,D015345,2,2
D015335,D015347,2,2
D015341,D015341,0,0
D015341,D015342,1,1
D015341,D015343,2,2
D015341,D015344,2,2
D015341,D015345,1,1
D015341,D015347,1,1
D015342,D015342,0,0
D015342,D015343,1,1
D015342,D015344,1,1
D015343,D015343,0,0
D015344,D015344,0,0
D015345,D015345,0,0
D015347,D015347,0,0
D015842,D000091362,1,1
D015842,D000991,1,1
D015842,D014361,1,1
D015842,D015842,0,0
D015842,D065427,2,2
D015843,D015843,0,0
D015853,D015853,0,0
D015853,D061945,1,1
D016085,D016085,0,0
D016166,D016166,0,0
D016573,D007302,2,2
