classId1,rela,classId2
N0000008438,isa,N0000008494
N0000008494,isa,N0000008648
N0000008648,isa,N0000009062
N0000009062,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008439,isa,N0000008495
N0000008495,isa,N0000008649
N0000008649,isa,N0000009063
N0000009063,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008440,isa,N0000008496
N0000008496,isa,N0000008657
N0000008657,isa,N0000008660
N0000008657,isa,N0000009071
N0000008660,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000009057,isa,N0000009802
N0000009071,isa,N0000009761
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000175550,isa,N0000009073
N0000008441,isa,N0000008497
N0000008497,isa,N0000008761
N0000008761,isa,N0000009758
N0000009758,isa,N0000009761
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008442,isa,N0000008498
N0000008498,isa,N0000008762
N0000008762,isa,N0000009760
N0000009759,isa,N0000009770
N0000009760,isa,N0000009761
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000008443,isa,N0000008499
N0000008499,isa,N0000008763
N0000008763,isa,N0000009762
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009762,isa,N0000009761
N0000009770,isa,N0000009802
N0000008444,isa,N0000008500
N0000008500,isa,N0000008764
N0000008764,isa,N0000009765
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009765,isa,N0000009761
N0000009770,isa,N0000009802
N0000008445,isa,N0000008501
N0000008501,isa,N0000008768
N0000008768,isa,N0000009774
N0000009027,isa,N0000009759
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009774,isa,N0000009027
N0000008446,isa,N0000008502
N0000008502,isa,N0000008893
N0000008660,isa,N0000008663
N0000008663,isa,N0000009074
N0000008663,isa,N0000175550
N0000008893,isa,N0000008660
N0000008893,isa,N0000009844
N0000009057,isa,N0000009802
N0000009073,isa,N0000009057
N0000009074,isa,N0000009073
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009844,isa,N0000009761
N0000175550,isa,N0000009073
N0000008447,isa,N0000008503
N0000008503,isa,N0000008973
N0000008973,isa,N0000009880
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009880,isa,N0000009761
N0000008448,isa,N0000008504
N0000008504,isa,N0000009015
N0000009015,isa,N0000009907
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
N0000009770,isa,N0000009802
N0000009907,isa,N0000009761
N0000008323,isa,N0000009761
N0000008449,isa,N0000008323
N0000009759,isa,N0000009770
N0000009761,isa,N0000009759
