ancestor_concept_code,descendant_concept_code,level_of_separation
N0000008804,N0000008804,0
N0000008804,N0000008396,1
N0000008804,N0000008781,2
N0000008396,N0000008396,0
N0000008396,N0000008781,1
N0000008781,N0000008781,0
N0000009802,N0000008976,8
N0000009770,N0000008976,7
N0000009759,N0000008976,6
N0000009761,N0000008976,5
N0000008315,N0000008976,4
N0000008425,N0000008976,3
N0000008804,N0000008976,2
N0000008396,N0000008976,1
N0000008976,N0000008976,0
N0000009802,N0000008602,7
N0000009770,N0000008602,6
N0000009759,N0000008602,5
N0000009761,N0000008602,4
N0000008315,N0000008602,3
N0000008425,N0000008602,2
N0000008804,N0000008602,1
N0000008602,N0000008602,0
N0000009802,N0000008872,7
N0000009770,N0000008872,6
N0000009759,N0000008872,5
N0000009761,N0000008872,4
N0000008315,N0000008872,3
N0000008425,N0000008872,2
N0000008804,N0000008872,1
N0000008872,N0000008872,0
N0000009802,N0000008484,6
N0000009802,N0000008428,7
N0000009770,N0000008484,5
N0000009770,N0000008428,6
N0000009759,N0000008484,4
N0000009759,N0000008428,5
N0000009761,N0000008484,3
N0000009761,N0000008428,4
N0000008315,N0000008484,2
N0000008315,N0000008428,3
N0000008425,N0000008484,1
N0000008425,N0000008428,2
N0000008484,N0000008484,0
N0000008484,N0000008428,1
N0000008428,N0000008428,0
N0000009802,N0000008507,7
N0000009770,N0000008507,6
N0000009759,N0000008507,5
N0000009761,N0000008507,4
N0000008315,N0000008507,3
N0000008425,N0000008507,2
N0000008484,N0000008507,1
N0000008507,N0000008507,0
N0000009802,N0000008530,7
N0000009770,N0000008530,6
N0000009759,N0000008530,5
N0000009761,N0000008530,4
N0000008315,N0000008530,3
N0000008425,N0000008530,2
N0000008484,N0000008530,1
N0000008530,N0000008530,0
N0000009802,N0000008710,7
N0000009770,N0000008710,6
N0000009759,N0000008710,5
N0000009761,N0000008710,4
N0000008315,N0000008710,3
N0000008425,N0000008710,2
N0000008484,N0000008710,1
N0000008710,N0000008710,0
N0000009802,N0000008928,7
N0000009770,N0000008928,6
N0000009759,N0000008928,5
N0000009761,N0000008928,4
N0000008315,N0000008928,3
N0000008425,N0000008928,2
N0000008484,N0000008928,1
N0000008928,N0000008928,0
N0000009802,N0000008737,6
N0000009802,N0000008455,7
N0000009770,N0000008737,5
N0000009770,N0000008455,6
N0000009759,N0000008737,4
N0000009759,N0000008455,5
N0000009761,N0000008737,3
N0000009761,N0000008455,4
N0000008315,N0000008737,2
N0000008315,N0000008455,3
N0000008425,N0000008737,1
N0000008425,N0000008455,2
N0000008737,N0000008737,0
N0000008737,N0000008455,1
N0000008455,N0000008455,0
N0000009802,N0000008901,7
N0000009770,N0000008901,6
N0000009759,N0000008901,5
N0000009761,N0000008901,4
N0000008315,N0000008901,3
N0000008425,N0000008901,2
N0000008737,N0000008901,1
N0000008901,N0000008901,0
N0000009802,N0000008951,7
N0000009770,N0000008951,6
N0000009759,N0000008951,5
N0000009761,N0000008951,4
N0000008315,N0000008951,3
N0000008425,N0000008951,2
N0000008737,N0000008951,1
N0000008951,N0000008951,0
N0000009802,N0000009121,5
N0000009802,N0000009496,6
N0000009802,N0000009092,7
N0000009802,N0000009473,8
N0000009770,N0000009121,4
N0000009770,N0000009496,5
N0000009770,N0000009092,6
N0000009770,N0000009473,7
N0000009759,N0000009121,3
N0000009759,N0000009496,4
N0000009759,N0000009092,5
N0000009759,N0000009473,6
N0000009761,N0000009121,2
N0000009761,N0000009496,3
N0000009761,N0000009092,4
N0000009761,N0000009473,5
N0000008315,N0000009121,1
N0000008315,N0000009496,2
N0000008315,N0000009092,3
N0000008315,N0000009473,4
N0000009121,N0000009121,0
N0000009121,N0000009496,1
N0000009121,N0000009092,2
N0000009121,N0000009473,3
N0000009496,N0000009496,0
N0000009496,N0000009092,1
N0000009496,N0000009473,2
N0000009092,N0000009092,0
N0000009092,N0000009473,1
N0000009473,N0000009473,0
N0000009802,N0000009668,8
N0000009770,N0000009668,7
N0000009759,N0000009668,6
N0000009761,N0000009668,5
N0000008315,N0000009668,4
N0000009121,N0000009668,3
N0000009496,N0000009668,2
N0000009092,N0000009668,1
N0000009668,N0000009668,0
N0000009802,N0000009296,7
N0000009770,N0000009296,6
N0000009759,N0000009296,5
N0000009761,N0000009296,4
N0000008315,N0000009296,3
N0000009121,N0000009296,2
N0000009496,N0000009296,1
N0000009296,N0000009296,0
N0000009802,N0000009565,7
N0000009770,N0000009565,6
N0000009759,N0000009565,5
N0000009761,N0000009565,4
N0000008315,N0000009565,3
N0000009121,N0000009565,2
N0000009496,N0000009565,1
N0000009565,N0000009565,0
N0000009802,N0000009180,6
N0000009802,N0000009124,7
N0000009770,N0000009180,5
N0000009770,N0000009124,6
N0000009759,N0000009180,4
N0000009759,N0000009124,5
N0000009761,N0000009180,3
N0000009761,N0000009124,4
N0000008315,N0000009180,2
N0000008315,N0000009124,3
N0000009121,N0000009180,1
N0000009121,N0000009124,2
N0000009180,N0000009180,0
N0000009180,N0000009124,1
N0000009124,N0000009124,0
N0000009802,N0000009203,7
N0000009770,N0000009203,6
N0000009759,N0000009203,5
N0000009761,N0000009203,4
N0000008315,N0000009203,3
N0000009121,N0000009203,2
N0000009180,N0000009203,1
N0000009203,N0000009203,0
N0000009802,N0000009226,7
N0000009770,N0000009226,6
N0000009759,N0000009226,5
N0000009761,N0000009226,4
N0000008315,N0000009226,3
N0000009121,N0000009226,2
N0000009180,N0000009226,1
N0000009226,N0000009226,0
N0000009802,N0000009402,7
N0000009770,N0000009402,6
N0000009759,N0000009402,5
N0000009761,N0000009402,4
N0000008315,N0000009402,3
N0000009121,N0000009402,2
N0000009180,N0000009402,1
N0000009402,N0000009402,0
N0000009802,N0000009620,7
N0000009770,N0000009620,6
N0000009759,N0000009620,5
N0000009761,N0000009620,4
N0000008315,N0000009620,3
N0000009121,N0000009620,2
N0000009180,N0000009620,1
N0000009620,N0000009620,0
N0000009802,N0000009429,6
N0000009802,N0000009151,7
N0000009770,N0000009429,5
N0000009770,N0000009151,6
N0000009759,N0000009429,4
N0000009759,N0000009151,5
N0000009761,N0000009429,3
N0000009761,N0000009151,4
N0000008315,N0000009429,2
N0000008315,N0000009151,3
N0000009121,N0000009429,1
N0000009121,N0000009151,2
N0000009429,N0000009429,0
N0000009429,N0000009151,1
N0000009151,N0000009151,0
N0000009802,N0000009593,7
N0000009770,N0000009593,6
N0000009759,N0000009593,5
N0000009761,N0000009593,4
N0000008315,N0000009593,3
N0000009121,N0000009593,2
N0000009429,N0000009593,1
N0000009593,N0000009593,0
N0000009802,N0000009643,7
N0000009770,N0000009643,6
N0000009759,N0000009643,5
N0000009761,N0000009643,4
N0000008315,N0000009643,3
N0000009121,N0000009643,2
N0000009429,N0000009643,1
N0000009643,N0000009643,0
N0000009802,N0000008323,4
N0000009802,N0000008449,5
N0000009802,N0000008805,6
N0000009802,N0000008397,7
N0000009802,N0000008782,8
N0000009770,N0000008323,3
N0000009770,N0000008449,4
N0000009770,N0000008805,5
N0000009770,N0000008397,6
N0000009770,N0000008782,7
N0000009759,N0000008323,2
N0000009759,N0000008449,3
N0000009759,N0000008805,4
N0000009759,N0000008397,5
N0000009759,N0000008782,6
N0000009761,N0000008323,1
N0000009761,N0000008449,2
N0000009761,N0000008805,3
N0000009761,N0000008397,4
