concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
1813,EPC,Mapped from,FDASPL,NA,1813,EPC
19484,EPC,Mapped from,FDASPL,NA,19484,EPC
2116,EPC,Mapped from,FDASPL,NA,2116,EPC
31555,EPC,Mapped from,FDASPL,NA,31555,EPC
49737,EPC,Mapped from,FDASPL,NA,49737,EPC
6185,EPC,Mapped from,FDASPL,NA,6185,EPC
6918,EPC,Mapped from,FDASPL,NA,6918,EPC
7226,EPC,Mapped from,FDASPL,NA,7226,EPC
8332,EPC,Mapped from,FDASPL,NA,8332,EPC
8787,EPC,Mapped from,FDASPL,NA,8787,EPC
298869,EPC,Mapped from,FDASPL,NA,298869,EPC
9997,EPC,Mapped from,FDASPL,NA,9997,EPC
10114,EPC,Mapped from,FDASPL,NA,10114,EPC
10473,EPC,Mapped from,FDASPL,NA,10473,EPC
134547,EPC,Mapped from,FDASPL,NA,134547,EPC
1545988,EPC,Mapped from,FDASPL,NA,1545988,EPC
1716278,EPC,Mapped from,FDASPL,NA,1716278,EPC
1828,EPC,Mapped from,FDASPL,NA,1828,EPC
2105,EPC,Mapped from,FDASPL,NA,2105,EPC
2346,EPC,Mapped from,FDASPL,NA,2346,EPC
2531369,EPC,Mapped from,FDASPL,NA,2531369,EPC
3098,EPC,Mapped from,FDASPL,NA,3098,EPC
37776,EPC,Mapped from,FDASPL,NA,37776,EPC
4089,EPC,Mapped from,FDASPL,NA,4089,EPC
5657,EPC,Mapped from,FDASPL,NA,5657,EPC
632,EPC,Mapped from,FDASPL,NA,632,EPC
6466,EPC,Mapped from,FDASPL,NA,6466,EPC
6674,EPC,Mapped from,FDASPL,NA,6674,EPC
6718,EPC,Mapped from,FDASPL,NA,6718,EPC
8702,EPC,Mapped from,FDASPL,NA,8702,EPC
16681,EPC,Mapped from,FDASPL,NA,16681,EPC
30009,EPC,Mapped from,FDASPL,NA,30009,EPC
1307298,EPC,Mapped from,FDASPL,NA,1307298,EPC
2474340,EPC,Mapped from,FDASPL,NA,2474340,EPC
31805,EPC,Mapped from,FDASPL,NA,31805,EPC
4508,EPC,Mapped from,FDASPL,NA,4508,EPC
83008,EPC,Mapped from,FDASPL,NA,83008,EPC
1091643,EPC,Mapped from,FDASPL,NA,1091643,EPC
214354,EPC,Mapped from,FDASPL,NA,214354,EPC
321064,EPC,Mapped from,FDASPL,NA,321064,EPC
52175,EPC,Mapped from,FDASPL,NA,52175,EPC
69749,EPC,Mapped from,FDASPL,NA,69749,EPC
73494,EPC,Mapped from,FDASPL,NA,73494,EPC
83515,EPC,Mapped from,FDASPL,NA,83515,EPC
83818,EPC,Mapped from,FDASPL,NA,83818,EPC
1545989,EPC,Mapped from,FDASPL,NA,1545989,EPC
1546022,EPC,Mapped from,FDASPL,NA,1546022,EPC
1546196,EPC,Mapped from,FDASPL,NA,1546196,EPC
1546358,EPC,Mapped from,FDASPL,NA,1546358,EPC
1546359,EPC,Mapped from,FDASPL,NA,1546359,EPC
1546377,EPC,Mapped from,FDASPL,NA,1546377,EPC
1546379,EPC,Mapped from,FDASPL,NA,1546379,EPC
1546393,EPC,Mapped from,FDASPL,NA,1546393,EPC
1546400,EPC,Mapped from,FDASPL,NA,1546400,EPC
18867,EPC,Mapped from,FDASPL,NA,18867,EPC
1998,EPC,Mapped from,FDASPL,NA,1998,EPC
35208,EPC,Mapped from,FDASPL,NA,35208,EPC
35296,EPC,Mapped from,FDASPL,NA,35296,EPC
3827,EPC,Mapped from,FDASPL,NA,3827,EPC
38454,EPC,Mapped from,FDASPL,NA,38454,EPC
50166,EPC,Mapped from,FDASPL,NA,50166,EPC
54552,EPC,Mapped from,FDASPL,NA,54552,EPC
258494,EPC,Mapped from,FDASPL,NA,258494,EPC
72965,EPC,Mapped from,FDASPL,NA,72965,EPC
84857,EPC,Mapped from,FDASPL,NA,84857,EPC
5470,EPC,Mapped from,FDASPL,NA,5470,EPC
6984,EPC,Mapped from,FDASPL,NA,6984,EPC
6809,EPC,Mapped from,FDASPL,NA,6809,EPC
11170,EPC,Mapped from,FDASPL,NA,11170,EPC
3443,EPC,Mapped from,FDASPL,NA,3443,EPC
3407,EPC,Mapped from,FDASPL,NA,3407,EPC
266604,EPC,Mapped from,FDASPL,NA,266604,EPC
3628,EPC,Mapped from,FDASPL,NA,3628,EPC
7512,EPC,Mapped from,FDASPL,NA,7512,EPC
1294580,EPC,Mapped from,FDASPL,NA,1294580,EPC
620216,EPC,Mapped from,FDASPL,NA,620216,EPC
623033,EPC,Mapped from,FDASPL,NA,623033,EPC
10869,EPC,Mapped from,FDASPL,NA,10869,EPC
1223,EPC,Mapped from,FDASPL,NA,1223,EPC
1303098,EPC,Mapped from,FDASPL,NA,1303098,EPC
1424,EPC,Mapped from,FDASPL,NA,1424,EPC
1487514,EPC,Mapped from,FDASPL,NA,1487514,EPC
1546373,EPC,Mapped from,FDASPL,NA,1546373,EPC
1546438,EPC,Mapped from,FDASPL,NA,1546438,EPC
2102775,EPC,Mapped from,FDASPL,NA,2102775,EPC
21232,EPC,Mapped from,FDASPL,NA,21232,EPC
3361,EPC,Mapped from,FDASPL,NA,3361,EPC
69120,EPC,Mapped from,FDASPL,NA,69120,EPC
7213,EPC,Mapped from,FDASPL,NA,7213,EPC
8761,EPC,Mapped from,FDASPL,NA,8761,EPC
89785,EPC,Mapped from,FDASPL,NA,89785,EPC
9601,EPC,Mapped from,FDASPL,NA,9601,EPC
2107301,EPC,Mapped from,FDASPL,NA,2107301,EPC
2557372,EPC,Mapped from,FDASPL,NA,2557372,EPC
591781,EPC,Mapped from,FDASPL,NA,591781,EPC
10759,EPC,Mapped from,FDASPL,NA,10759,EPC
10761,EPC,Mapped from,FDASPL,NA,10761,EPC
108088,EPC,Mapped from,FDASPL,NA,108088,EPC
108118,EPC,Mapped from,FDASPL,NA,108118,EPC
1347,EPC,Mapped from,FDASPL,NA,1347,EPC
1514,EPC,Mapped from,FDASPL,NA,1514,EPC
